"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"Mike Green","1974","1980","C-F","6-10","200","August 6, 1951","Louisiana Tech"
"Rickey Green","1978","1992","G","6-0","170","August 18, 1954","Vincennes University, Michigan"
"Sean Green","1992","1994","G-F","6-5","210","February 2, 1970","NC State, Iona College"
"Si Green","1957","1966","G-F","6-2","185","August 20, 1933","Duquesne"
"Sidney Green","1984","1993","F-C","6-9","220","January 4, 1961","UNLV"
"Steve Green","1976","1979","F","6-7","220","October 4, 1953","Indiana"
"Taurean Green","2008","2008","G","6-0","177","November 28, 1986","Florida"
"Tommie Green","1979","1979","G","6-2","185","April 8, 1956","Southern University and A&M College"
"Willie Green","2004","2015","G","6-4","200","July 28, 1981","Detroit Mercy"
"Donté Greene","2009","2012","F","6-11","226","February 21, 1988","Syracuse"
"Orien Greene","2006","2011","G","6-4","208","February 4, 1982","Florida, Louisiana"
"Jerry Greenspan","1964","1965","F","6-5","195","November 22, 1941","Maryland"
"Dave Greenwood","1980","1991","F-C","6-9","222","May 27, 1957","UCLA"
"Hal Greer*","1959","1973","G-F","6-2","175","June 26, 1936","Marshall"
"Lynn Greer","2007","2007","G","6-2","175","October 23, 1979","Temple"
"Gary Gregor","1969","1974","F-C","6-7","225","August 13, 1945","South Carolina"
"Claude Gregory","1986","1988","F","6-8","205","December 26, 1958","Wisconsin"
"John Greig","1983","1983","F","6-7","215","April 28, 1961","Oregon"
"Norm Grekin","1954","1954","F","6-5","180","June 22, 1930","La Salle"
"Kevin Grevey","1976","1985","G-F","6-5","210","May 12, 1953","Kentucky"
"Dennis Grey","1969","1970","C-F","6-8","215","August 26, 1947","California Western Uiversity"
"Adrian Griffin","2000","2008","G-F","6-5","217","July 4, 1974","Seton Hall"
"AJ Griffin","2023","2023","F","6-6","222","August 25, 2003","Duke"
"Blake Griffin","2011","2023","F-C","6-9","250","March 16, 1989","Oklahoma"
"Eddie Griffin","2002","2007","F-C","6-10","220","May 30, 1982","Seton Hall"
"Greg Griffin","1978","1978","F","6-7","190","September 6, 1952","Idaho State University"
"Paul Griffin","1977","1983","F-C","6-9","205","January 20, 1954","Western Michigan"
"Taylor Griffin","2010","2010","F","6-7","238","April 18, 1986","Oklahoma"
"Darrell Griffith","1981","1991","G","6-4","190","June 16, 1958","Louisville"
"Chuck Grigsby","1955","1955","G","6-5","190","August 15, 1928","Dayton"
"Quentin Grimes","2022","2023","G","6-5","205","May 8, 2000","Kansas, Houston"
"Derek Grimm","1998","1998","F","6-9","230","August 3, 1974","Missouri"
"Woody Grimshaw","1947","1947","G","6-1","185","September 24, 1919","Brown University"
"Dick Groat","1953","1953","G","5-11","180","November 4, 1930","Duke"
"Bob Gross","1976","1983","F-G","6-6","200","August 3, 1953","Seattle University, Cal State Long Beach"
"Mike Grosso","1972","1972","C","6-9","230","September 7, 1947","Louisville"
"Jerry Grote","1965","1965","G","6-4","215","December 28, 1940","Loyola Marymount"
"Alex Groza","1950","1951","C","6-7","218","October 7, 1926","Kentucky"
"Dick Grubar","1970","1970","G","6-4","184","July 26, 1947","UNC"
"Anthony Grundy","2006","2006","G","6-3","180","April 15, 1979","NC State"
"Ernie Grunfeld","1978","1986","G-F","6-6","210","April 24, 1955","Tennessee"
"Gene Guarilia","1960","1963","F","6-5","220","September 13, 1937","George Washington"
"Pétur Guðmundsson","1982","1989","C","7-2","260","October 30, 1958","Washington"
"Marko Guduric","2020","2020","G","6-6","201","March 8, 1995",""
"Richie Guerin*","1957","1970","G","6-4","195","May 29, 1932","Iona College"
"Tom Gugliotta","1993","2005","F","6-10","240","December 19, 1969","NC State"
"Andrés Guibert","1994","1995","F-C","6-10","225","October 28, 1968",""
"Jay Guidinger","1993","1994","C","6-10","255","August 18, 1969","University of Minnesota Duluth"
"Coulby Gunther","1947","1949","F","6-4","190","February 5, 1923","Boston College"
"Dave Gunther","1963","1963","F","6-7","190","July 22, 1937","Iowa"
"Al Guokas","1950","1950","F-G","6-5","200","August 7, 1925","Saint Joseph's"
"Matt Guokas","1947","1947","F","6-3","195","November 11, 1915","Saint Joseph's"
"Matt Guokas","1967","1976","G-F","6-5","175","February 25, 1944","Saint Joseph's"
"Jorge Gutiérrez","2014","2016","G","6-3","191","December 27, 1988","California"
"Kyle Guy","2020","2022","G","6-1","167","August 11, 1997","Virginia"
"A.J. Guyton","2001","2003","G","6-1","180","February 12, 1978","Indiana"
"Rui Hachimura","2020","2023","F","6-8","230","February 8, 1998","Gonzaga"
"Rudy Hackett","1976","1977","F","6-9","210","May 10, 1953","Syracuse"
"Hamed Haddadi","2009","2013","C","7-2","254","May 19, 1985",""
"Jim Hadnot","1968","1968","C-F","6-10","235","January 15, 1940","Providence"
"Scott Haffner","1990","1991","G","6-3","180","February 2, 1966","Illinois, University of Evansville"
"Cliff Hagan*","1957","1970","F-G","6-4","210","December 9, 1931","Kentucky"
"Glenn Hagan","1982","1982","G","6-0","170","June 25, 1955","St. Bonaventure"
"Tom Hagan","1970","1971","G","6-3","185","January 29, 1947","Vanderbilt"
"Ashton Hagans","2021","2021","G","6-3","190","July 8, 1999","Kentucky"
"Robert Hahn","1950","1950","C","6-10","240","August 25, 1925","NC State"
"Al Hairston","1969","1970","G","6-1","170","December 11, 1945","Bowling Green"
"Happy Hairston","1965","1975","F","6-7","225","May 31, 1942","NYU"
"Lindsay Hairston","1976","1976","F-C","6-7","180","December 8, 1951","Michigan State"
"Malik Hairston","2009","2010","G","6-6","220","February 23, 1987","Oregon"
"P.J. Hairston","2015","2016","G-F","6-6","230","December 24, 1992","UNC"
"Marcus Haislip","2003","2010","F","6-10","230","December 22, 1980","Tennessee"
"Chick Halbert","1947","1951","C","6-9","225","February 27, 1919","West Texas A&M University"
"Swede Halbrook","1961","1962","C","7-3","235","January 30, 1933","Oregon State"
"Bruce Hale","1949","1951","G-F","6-1","170","August 30, 1918","Santa Clara"
"Hal Hale","1968","1968","G","6-1","180","September 21, 1945","Utah State University"
"Jack Haley","1989","1998","C-F","6-10","240","January 27, 1964","UCLA"
"Tyrese Haliburton","2021","2023","G","6-5","185","February 29, 2000","Iowa State"
"Shaler Halimon","1969","1973","G-F","6-5","199","March 30, 1945","Imperial Valley College, Utah State University"
"Devon Hall","2020","2020","G","6-2","215","July 7, 1995","Virginia"
"Donta Hall","2020","2021","F","6-9","232","August 7, 1997","Alabama"
"Jordan Hall","2023","2023","G-F","6-7","215","January 14, 2002","Saint Joseph's"
"Josh Hall","2021","2021","F","6-9","190","October 8, 2000",""
"Mike Hall","2007","2007","F","6-8","230","June 5, 1984","George Washington"
"Tyler Hall","2022","2022","G","6-5","209","March 25, 1997","Montana State"
"Jeff Halliburton","1972","1973","G","6-5","193","July 3, 1949","Drake University"
"Darvin Ham","1997","2005","F","6-7","220","July 23, 1973","Texas Tech"
"Steve Hamer","1997","1997","C","7-0","245","November 13, 1973","Tennessee"
"Dale Hamilton","1950","1950","G-F","6-0","180","August 16, 1919","Franklin College"
"Daniel Hamilton","2018","2019","G-F","6-7","195","August 8, 1995","UConn"
"Dennis Hamilton","1968","1971","F","6-8","210","May 8, 1944","Arizona State"
"Joe Hamilton","1971","1976","G","5-10","160","July 5, 1948","Southwestern Christian College, University of North Texas"
"Jordan Hamilton","2012","2016","G-F","6-7","220","October 6, 1990","Texas"
"Justin Hamilton","2014","2017","C","7-0","260","April 1, 1990","Iowa State, LSU"
"Ralph Hamilton","1949","1949","G-F","6-1","188","June 10, 1921","Indiana"
"Richard Hamilton","2000","2013","G-F","6-6","185","February 14, 1978","UConn"
"Roy Hamilton","1980","1981","G","6-2","180","July 20, 1957","UCLA"
"Steve Hamilton","1959","1960","F-C","6-6","190","November 30, 1934","Morehead State University"
"Tang Hamilton","2002","2002","F","6-8","220","May 26, 1978","Mississippi State"
"Thomas Hamilton","1996","2000","C","7-2","330","April 3, 1975","Pitt"
"Zendon Hamilton","2001","2006","C-F","6-11","250","April 27, 1975","St. John's"
"Geert Hammink","1994","1996","C","7-0","262","July 12, 1969","LSU"
"Julian Hammond","1968","1972","F","6-5","205","May 27, 1943","Tulsa"
"Tom Hammonds","1990","2001","F","6-9","215","March 27, 1967","Georgia Tech"
"A.J. Hammons","2017","2017","C","7-0","260","August 27, 1992","Purdue"
"Joe Hamood","1968","1968","G","6-0","180","September 7, 1943","Houston"
"R.J. Hampton","2021","2023","G","6-4","175","February 7, 2001",""
"Darrin Hancock","1995","1997","G-F","6-7","205","November 3, 1971","Kansas"
"Ben Handlogten","2004","2005","C","6-10","240","November 16, 1973","Western Michigan"
"Cecil Hankins","1947","1948","G","6-1","175","January 6, 1922","Oklahoma State"
"Phil Hankinson","1974","1975","F","6-8","195","July 26, 1951","Penn"
"Dusty Hannahs","2019","2020","G","6-3","210","September 2, 1993","Texas Tech, Arkansas"
"Alex Hannum*","1950","1957","F-C","6-7","210","July 19, 1923","USC"
"Don Hanrahan","1953","1953","F","6-7","200","February 6, 1929","Loyola Chicago"
"Rollen Hans","1954","1955","G","6-2","210","April 13, 1931","Long Island University"
"Ben Hansbrough","2013","2013","G","6-3","203","December 23, 1987","Mississippi State, Notre Dame"
"Tyler Hansbrough","2010","2016","F","6-9","250","November 3, 1985","UNC"
"Bob Hansen","1984","1992","G","6-6","190","January 18, 1961","Iowa"
"Glenn Hansen","1976","1978","G","6-4","205","April 21, 1952","LSU"
"Lars Hansen","1979","1979","C","6-10","225","September 14, 1954","Washington"
"Travis Hansen","2004","2004","G","6-6","205","April 15, 1978","Utah Valley, BYU"
"Reggie Hanson","1998","1998","F","6-8","195","October 6, 1968","Kentucky"
"Bill Hanzlik","1981","1990","G-F","6-7","185","December 6, 1957","Notre Dame"
"Luke Harangody","2011","2012","F","6-8","246","January 2, 1988","Notre Dame"
"Anfernee Hardaway","1994","2008","G-F","6-7","195","July 18, 1971","Memphis"
"Tim Hardaway*","1990","2003","G","6-0","175","September 1, 1966","Texas-El Paso"
"Tim Hardaway Jr.","2014","2023","G","6-5","205","March 16, 1992","Michigan"
"James Harden","2010","2023","G","6-5","220","August 26, 1989","Arizona State"
"Reggie Harding","1964","1968","C","7-0","249","May 4, 1942",""
"Charlie Hardnett","1963","1965","F-C","6-8","225","September 13, 1938","Grambling State University"
"Alan Hardy","1981","1982","F","6-7","195","May 25, 1957","Michigan"
"Darrell Hardy","1968","1968","F","6-7","220","","Baylor"
"Jaden Hardy","2023","2023","G","6-4","198","July 5, 2002",""
"James Hardy","1979","1982","F-C","6-8","220","December 1, 1956","San Francisco"
"Ira Harge","1968","1973","C","6-9","225","March 14, 1941","Southeastern Iowa Community College, West Burlington Campus, New Mexico"
"John Hargis","1950","1951","G-F","6-2","180","August 20, 1920","Texas"
"Maurice Harkless","2013","2022","F-G","6-7","220","May 11, 1993","St. John's"
"Jerry Harkness","1964","1969","G","6-2","175","May 7, 1940","Loyola Chicago"
"Skip Harlicka","1969","1969","G","6-1","185","October 14, 1946","South Carolina"
"Jerome Harmon","1995","1995","G","6-4","190","February 6, 1969","Louisville"
"Derek Harper","1984","1999","G","6-4","185","October 13, 1961","Illinois"
"Jared Harper","2020","2022","G","5-10","175","September 14, 1997","Auburn"
"Justin Harper","2012","2017","F","6-10","225","August 30, 1989","Richmond"
"Mike Harper","1981","1982","C-F","6-10","195","December 9, 1957","North Park University"
"Ron Harper","1987","2001","G-F","6-6","185","January 20, 1964","Miami University"
"Ron Harper Jr.","2023","2023","G-F","6-6","245","April 12, 2000","Rutgers University"
"Matt Harpring","1999","2009","F","6-7","231","May 31, 1976","Georgia Tech"
"Montrezl Harrell","2016","2023","F-C","6-7","240","January 26, 1994","Louisville"
"Josh Harrellson","2012","2014","C","6-10","275","February 12, 1989","Kentucky"
"Adam Harrington","2003","2003","G","6-5","200","July 5, 1980","NC State, Auburn"
"Al Harrington","1999","2014","F","6-9","230","February 17, 1980",""
"Junior Harrington","2003","2007","G","6-4","180","October 2, 1980","Wingate University"
"Othella Harrington","1997","2008","F-C","6-9","235","January 31, 1974","Georgetown"
"Art Harris","1969","1972","G","6-4","185","January 13, 1947","Stanford"
"Bernie Harris","1975","1975","F","6-10","200","November 26, 1950","VCU"
"Billy Harris","1975","1975","G","6-2","185","November 12, 1951","Northern Illinois"
"Bob Harris","1950","1954","F-C","6-7","195","March 16, 1927","Oklahoma State"
"Chris Harris","1956","1956","G","6-3","190","August 11, 1933","Dayton"
"Devin Harris","2005","2019","G","6-3","185","February 27, 1983","Wisconsin"
"Elias Harris","2014","2014","F","6-8","239","July 6, 1989","Gonzaga"
"Gary Harris","2015","2023","G","6-4","210","September 14, 1994","Michigan State"
"Jalen Harris","2021","2021","G","6-5","195","August 14, 1998","Nevada, Louisiana Tech"
"Joe Harris","2015","2023","G","6-6","220","September 6, 1991","Virginia"
"Kevon Harris","2023","2023","G","6-6","216","June 24, 1997","Stephen F. Austin"
"Lucious Harris","1994","2005","G","6-5","190","December 18, 1970","Cal State Long Beach"
"Manny Harris","2011","2017","G","6-5","185","September 21, 1989","Michigan"
"Mike Harris","2008","2014","F","6-6","240","June 15, 1983","Rice University"
"Steve Harris","1986","1990","G","6-5","195","October 15, 1963","Tulsa"
"Terrel Harris","2012","2013","G","6-5","190","August 10, 1987","Oklahoma State"
"Tobias Harris","2012","2023","F","6-8","226","July 15, 1992","Tennessee"
"Tony Harris","1991","1995","G","6-3","190","May 13, 1967","Lamar, New Orleans"
"Aaron Harrison","2016","2018","G","6-6","210","October 28, 1994","Kentucky"
"Andrew Harrison","2017","2019","G","6-6","213","October 28, 1994","Kentucky"
"Bob Harrison","1950","1958","G","6-1","190","August 12, 1927","Michigan"
"David Harrison","2005","2008","C","7-0","280","August 15, 1982","Colorado"
"Shaquille Harrison","2018","2022","G","6-4","190","October 6, 1993","Tulsa"
"Jason Hart","2001","2010","G","6-3","185","April 29, 1978","Syracuse"
"Josh Hart","2018","2023","G","6-5","215","March 6, 1995","Villanova"
"Isaiah Hartenstein","2019","2023","F","7-0","250","May 5, 1998",""
"Antonio Harvey","1994","2003","F-C","6-11","225","July 6, 1970","Southern Illinois, Georgia, Pfeiffer University"
"Donnell Harvey","2001","2005","F","6-8","220","August 26, 1980","Florida"
"Scott Haskin","1994","1994","C-F","6-11","250","September 19, 1970","Oregon State"
"Clem Haskins","1968","1976","G","6-3","195","July 11, 1943","Western Kentucky"
"Udonis Haslem","2004","2023","F-C","6-8","235","June 9, 1980","Florida"
"Trenton Hassell","2002","2010","G","6-5","200","March 4, 1979","Austin Peay State University"
"Billy Hassett","1950","1951","G","5-11","180","October 21, 1921","Notre Dame"
"Joe Hassett","1978","1983","G","6-5","180","September 11, 1955","Providence"
"Scott Hastings","1983","1993","F-C","6-10","235","June 3, 1960","Arkansas"
"Kirk Haston","2002","2003","F","6-9","242","March 10, 1979","Indiana"
"Vern Hatton","1959","1962","G","6-3","195","January 13, 1936","Kentucky"
"Sam Hauser","2022","2023","F","6-8","215","December 8, 1997","Marquette, Virginia"
"John Havlicek*","1963","1978","F-G","6-5","203","April 8, 1940","Ohio State"
"Spencer Hawes","2008","2017","C-F","7-1","245","April 28, 1988","Washington"
"Steve Hawes","1975","1984","C-F","6-9","220","May 26, 1950","Washington"
"Bubbles Hawkins","1976","1979","G","6-4","190","June 30, 1954","Illinois State"
"Connie Hawkins*","1968","1976","F-C","6-8","210","July 17, 1942","Iowa"
"Hersey Hawkins","1989","2001","G","6-3","190","September 29, 1966","Bradley"
"Juaquin Hawkins","2003","2003","G-F","6-7","220","July 2, 1973","Cal State Long Beach"
"Marshall Hawkins","1950","1950","F","6-3","205","August 3, 1924","Tennessee"
"Michael Hawkins","1997","2001","G","6-0","178","October 28, 1972","Xavier"
"Tom Hawkins","1960","1969","F","6-5","210","December 22, 1936","Notre Dame"
"Nate Hawthorne","1974","1976","G","6-4","190","January 15, 1950","Southern Illinois"
"Chuck Hayes","2006","2016","F-C","6-6","240","June 11, 1983","Kentucky"
"Elvin Hayes*","1969","1984","F-C","6-9","235","November 17, 1945","Houston"
"Jarvis Hayes","2004","2010","F","6-7","220","August 9, 1981","Western Carolina University, Georgia"
"Jaxson Hayes","2020","2023","F","6-11","220","May 23, 2000","Texas"
"Jim Hayes","1971","1971","G","6-3","200","February 18, 1948","Boston University"
"Killian Hayes","2021","2023","G","6-5","195","July 27, 2001",""
"Nigel Hayes","2018","2018","F","6-8","254","December 16, 1994","Wisconsin"
"Steve Hayes","1982","1986","C","7-0","205","August 2, 1955","Idaho State University"
"Gordon Hayward","2011","2023","F-G","6-7","225","March 23, 1990","Butler"
"Lazar Hayward","2011","2013","F","6-6","225","November 26, 1986","Marquette"
"Brendan Haywood","2002","2015","C","7-0","268","November 27, 1979","UNC"
"Spencer Haywood*","1970","1983","F-C","6-8","225","April 22, 1949","Trinidad State Junior College, Detroit Mercy"
"John Hazen","1949","1949","G","6-2","172","March 2, 1927","Indiana State University"
"Walt Hazzard","1965","1974","G","6-2","185","April 15, 1942","UCLA"
"Luther Head","2006","2011","G","6-3","185","November 26, 1982","Illinois"
"Shane Heal","1997","2004","G","6-0","180","September 6, 1970",""
"Brian Heaney","1970","1970","G","6-2","180","September 3, 1946","Acadia University"
"Gar Heard","1971","1981","F","6-6","219","May 3, 1948","Oklahoma"
"Reggie Hearn","2018","2018","G","6-5","210","August 14, 1991","Northwestern"
"Herm Hedderick","1955","1955","G","6-5","170","January 10, 1930","Canisius"
"Alvin Heggs","1996","1996","F","6-8","225","December 12, 1967","Texas"
"Tom Heinsohn*","1957","1965","F-C","6-7","218","August 26, 1934","Holy Cross"
"Dick Hemric","1956","1957","F","6-6","220","August 29, 1933","Wake Forest"
"Alan Henderson","1996","2007","F","6-9","235","December 2, 1972","Indiana"
"Cedric Henderson","1987","1987","F","6-8","210","October 3, 1965","Georgia"
"Cedric Henderson","1998","2002","F","6-7","215","March 11, 1975","Memphis"
"Dave Henderson","1988","1988","G","6-5","195","July 21, 1964","Duke"
"Gerald Henderson","1980","1992","G","6-2","175","January 16, 1956","VCU"
"Gerald Henderson","2010","2017","G","6-5","215","December 9, 1987","Duke"
"J.R. Henderson","1999","1999","F","6-8","226","October 30, 1976","UCLA"
"Jerome Henderson","1986","1987","C-F","6-11","230","October 5, 1959","New Mexico"
"Kevin Henderson","1987","1988","G","6-4","195","March 22, 1964","Cal State Fullerton"
"Tom Henderson","1975","1983","G","6-3","190","January 26, 1952","Hawaii"
"Mark Hendrickson","1997","2000","F","6-9","220","June 23, 1974","Washington State"
"Larry Hennessy","1956","1957","G","6-3","185","May 20, 1929","Villanova"
"Don Henriksen","1953","1955","F-C","6-7","225","October 10, 1929","California"
"Aaron Henry","2022","2022","F","6-6","210","August 30, 1999","Michigan State"
"Al Henry","1971","1972","C","6-9","190","February 9, 1949","Wisconsin"
"Bill Henry","1949","1950","C","6-9","215","December 27, 1924","Rice University"
"Carl Henry","1986","1986","G","6-6","205","August 16, 1960","Oklahoma City University, Kansas"
"Conner Henry","1987","1988","G","6-7","195","July 21, 1963","UC Santa Barbara"
"Myke Henry","2018","2018","F","6-6","210","December 23, 1992","DePaul"
"Skeeter Henry","1994","1994","G","6-7","190","December 8, 1967","Midland College, Oklahoma"
"Xavier Henry","2011","2015","G","6-6","220","March 15, 1991","Kansas"
"John Henson","2013","2020","C-F","6-9","219","December 28, 1990","UNC"
"Steve Henson","1991","1999","G","5-11","177","February 2, 1968","Kansas State"
"Charlie Hentz","1971","1971","F","6-5","210","September 13, 1947","University of Arkansas at Pine Bluff"
"Bill Herman","1950","1950","G","6-3","170","May 17, 1924","Mount Union College"
"Kleggie Hermsen","1947","1953","C-F","6-9","225","March 12, 1923","Minnesota"
"Dewan Hernandez","2020","2020","F","6-10","235","December 9, 1996","Miami (FL)"
"Juancho Hernangómez","2017","2023","F","6-9","214","September 28, 1995",""
"Willy Hernangómez","2017","2023","C","6-11","250","May 27, 1994",""
"Chris Herren","2000","2001","G","6-2","197","September 27, 1975","Boston College, Fresno State"
"Carl Herrera","1992","1999","F","6-9","215","December 14, 1966","Jacksonville College, Houston"
"Walter Herrmann","2007","2009","F","6-9","225","June 26, 1979",""
"Tyler Herro","2020","2023","G","6-5","195","January 20, 2000","Kentucky"
"Keith Herron","1979","1982","G-F","6-6","195","June 14, 1956","Villanova"
"Sonny Hertzberg","1947","1951","G","5-10","175","July 29, 1922","City College of New York"
"Kevin Hervey","2020","2020","F","6-9","230","July 9, 1996","UT Arlington"
"Dan Hester","1971","1971","F","6-8","210","November 8, 1948",", LSU"
"Fred Hetzel","1966","1971","F-C","6-8","220","July 21, 1942","Davidson"
"Bill Hewitt","1969","1975","F","6-7","210","August 8, 1944","USC"
"Jack Hewson","1948","1948","F-C","6-6","195","September 7, 1924","Temple"
"Art Heyman","1964","1970","F-G","6-5","205","June 24, 1941","Duke"
"Mario Hezonja","2016","2020","F-G","6-8","220","February 25, 1995",""
"Roy Hibbert","2009","2017","C","7-2","270","December 11, 1986","Georgetown"
"Nat Hickey","1948","1948","G-F","5-11","180","January 30, 1902",""
"Isaiah Hicks","2018","2019","F","6-9","230","July 24, 1994","UNC"
"Phil Hicks","1977","1979","F","6-7","205","January 31, 1953","Tulane"
"J.J. Hickson","2009","2016","F-C","6-9","242","September 4, 1988","NC State"
"Buddy Hield","2017","2023","G-F","6-4","220","December 17, 1992","Oklahoma"
"Bill Higgins","1975","1975","G","6-2","180","December 15, 1952","Ashland University"
"Cory Higgins","2012","2013","G","6-5","180","June 14, 1989","Colorado"
"Earle Higgins","1971","1971","F","6-8","195","December 30, 1946",", Eastern Michigan"
"Mike Higgins","1990","1991","F","6-9","220","February 17, 1967","University of Northern Colorado"
"Rod Higgins","1983","1995","F","6-7","200","January 31, 1960","Fresno State"
"Sean Higgins","1991","1998","G-F","6-9","205","December 30, 1968","Michigan"
"Kenny Higgs","1979","1982","G","6-0","180","January 31, 1955","LSU"
"Johnny High","1980","1984","G","6-3","185","April 25, 1957","Nevada"
"Haywood Highsmith","2019","2023","F","6-7","220","December 9, 1996","Wheeling University"
"Wayne Hightower","1963","1972","F-C","6-8","192","January 14, 1940","Kansas"
"Nenê","2003","2019","F-C","6-11","250","September 13, 1982",""
"Armond Hill","1977","1984","G","6-4","190","March 31, 1953","Princeton"
"Cleo Hill","1962","1962","G","6-1","185","May 24, 1938","Winston-Salem State"
"Gary Hill","1964","1965","G","6-4","185","October 7, 1941","Oklahoma City University"
"George Hill","2009","2023","G","6-4","188","May 4, 1986","IUPUI"
"Grant Hill*","1995","2013","F-G","6-8","225","October 5, 1972","Duke"
"Jordan Hill","2010","2017","C-F","6-10","235","July 27, 1987","Arizona"
"Malcolm Hill","2022","2023","F","6-6","220","October 26, 1995","Illinois"
"Simmie Hill","1970","1974","F","6-7","233","November 14, 1946","Wichita State, Cameron University, West Texas A&M University"
"Solomon Hill","2014","2022","F","6-6","226","March 18, 1991","Arizona"
"Steven Hill","2009","2009","C","7-0","248","November 14, 1985","Arkansas"
"Tyrone Hill","1991","2004","F","6-9","240","March 19, 1968","Xavier"
"Art Hillhouse","1947","1948","C","6-7","220","June 12, 1916","Long Island University"
"Darrun Hilliard","2016","2018","G","6-6","205","April 13, 1993","Villanova"
"Darnell Hillman","1972","1980","F-C","6-9","215","August 29, 1949","San Jose State"
"Fred Hilton","1972","1973","G-F","6-3","185","January 15, 1948","Grambling State University"
"Kirk Hinrich","2004","2016","G","6-4","190","January 2, 1981","Kansas"
"Roy Hinson","1984","1991","F-C","6-9","210","May 2, 1961","Rutgers University"
"Nate Hinton","2021","2022","G","6-5","210","June 8, 1999","Houston"
"Mel Hirsch","1947","1947","G","5-6","165","July 31, 1921","Brooklyn College"
"Lew Hitch","1952","1957","F-C","6-8","200","July 16, 1929","Kansas State"
"Robert Hite","2007","2007","G","6-2","184","January 12, 1984","Miami (FL)"
"Jaylen Hoard","2020","2022","F","6-8","216","March 30, 1999","Wake Forest"
"Darington Hobson","2012","2012","G","6-7","210","September 29, 1987","New Mexico"
"Donald Hodge","1992","1996","C","7-0","230","February 25, 1969","Temple"
"Julius Hodge","2006","2007","G","6-7","210","November 18, 1983","NC State"
"Craig Hodges","1983","1992","G","6-2","190","June 27, 1960","Cal State Long Beach"
"Charlie Hoefer","1947","1948","G","5-9","158","September 16, 1921","Queens College"
"Paul Hoffman","1948","1955","G-F","6-2","195","April 12, 1925","Purdue"
"Bob Hogsett","1967","1968","F","6-7","230","January 29, 1941","Tennessee"
"Paul Hogue","1963","1964","C","6-9","240","April 28, 1940","Cincinnati"
"Fred Hoiberg","1996","2005","G","6-4","203","October 15, 1972","Iowa State"
"Doug Holcomb","1949","1949","F","6-4","200","February 9, 1925","Wisconsin"
"Randy Holcomb","2006","2006","F","6-9","225","August 8, 1979","Fresno State, San Diego State"
"Aaron Holiday","2019","2023","G","6-0","185","September 30, 1996","UCLA"
"Jrue Holiday","2010","2023","G","6-3","205","June 12, 1990","UCLA"
"Justin Holiday","2013","2023","F","6-6","180","April 5, 1989","Washington"
"Brad Holland","1980","1982","G","6-3","180","December 6, 1956","UCLA"
"Joe Holland","1950","1952","F","6-4","185","September 26, 1925","Kentucky"
"John Holland","2018","2019","G-F","6-5","205","November 6, 1988","Boston University"
"Wilbur Holland","1976","1979","G","6-0","175","November 8, 1951","New Orleans"
"Lionel Hollins","1976","1985","G","6-3","185","October 19, 1953","Arizona State"
"Ryan Hollins","2007","2016","C","7-0","240","October 10, 1984","UCLA"
"Essie Hollis","1979","1979","F","6-6","195","May 16, 1955","St. Bonaventure"
"Rondae Hollis-Jefferson","2016","2021","F","6-6","217","January 3, 1995","Arizona"
"Dennis Holman","1968","1968","G","6-3","175","October 8, 1945","SMU"
"Richaun Holmes","2016","2023","C-F","6-10","235","October 15, 1993","Bowling Green"
"Jim Holstein","1953","1956","F-G","6-3","180","September 24, 1930","Cincinnati"
"A.W. Holt","1971","1971","F","6-7","210","August 26, 1946","Jackson State University"
"Michael Holton","1985","1990","G","6-4","185","August 4, 1961","UCLA"
"Dick Holub","1948","1948","C","6-6","205","October 29, 1921","Long Island University"
"Joe Holup","1957","1959","F","6-6","215","February 26, 1934","George Washington"
"Red Holzman*","1949","1954","G","5-10","175","August 10, 1920","City College of New York"
"Jerald Honeycutt","1998","1999","F-G","6-9","245","October 20, 1974","Tulane"
"Tyler Honeycutt","2012","2013","F","6-8","188","July 15, 1990","UCLA"
"Derek Hood","2000","2000","F","6-8","222","December 22, 1976","Arkansas"
"Rodney Hood","2015","2022","G-F","6-8","208","October 20, 1992","Mississippi State, Duke"
"Bobby Hooper","1969","1969","G","6-0","180","December 22, 1946","Dayton"
"Carroll Hooser","1968","1968","F","6-7","230","March 5, 1944","SMU"
"Tom Hoover","1964","1969","C","6-9","230","January 23, 1941","Villanova"
"Bob Hopkins","1957","1960","C-F","6-8","205","November 3, 1934","Grambling State University"
"Dave Hoppen","1988","1993","C-F","6-11","235","March 13, 1964","Nebraska"
"Dennis Hopson","1988","1992","G-F","6-5","200","April 22, 1965","Ohio State"
"Scotty Hopson","2014","2022","G","6-7","204","August 8, 1989","Tennessee"
"Johnny Horan","1956","1956","F","6-8","190","November 24, 1932","Dayton"
"Cedrick Hordges","1981","1982","F-C","6-8","220","January 8, 1957","Auburn, South Carolina"
"Al Horford","2008","2023","C-F","6-9","240","June 3, 1986","Florida"
"Tito Horford","1989","1994","C","7-1","245","January 19, 1966","Miami (FL)"
"Ron Horn","1962","1968","F","6-7","220","May 24, 1938","Indiana"
"Jeff Hornacek","1987","2000","G","6-3","190","May 3, 1963","Iowa State"
"Dennis Horner","2012","2012","F","6-9","230","February 5, 1988","NC State"
"Robert Horry","1993","2008","F","6-10","240","August 25, 1970","Alabama"
"Ed Horton","1990","1990","F","6-8","230","December 17, 1967","Iowa"
